epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8442,0.81152,3.29298,1.14032,0.00556,1,0.43299,0.35018,0.60267,3.50584,1.01635,0.000359441,0.000359441,0.000359441
2,145.899,0.82615,2.82066,1.1687,0.70416,0.48827,0.61587,0.46553,0.79605,2.57338,1.25374,0.000715325,0.000715325,0.000715325
3,237.132,0.85652,2.1837,1.16269,0.80879,0.53856,0.70657,0.56436,0.78423,2.19204,1.17897,0.00105654,0.00105654,0.00105654
4,302.208,0.86444,1.9094,1.13866,0.77707,0.53005,0.66287,0.51572,0.77165,2.19703,1.14379,0.00104501,0.00104501,0.00104501
5,357.749,0.90987,1.68012,1.18619,0.75274,0.67657,0.68134,0.50415,0.80685,2.99685,1.16954,0.00102301,0.00102301,0.00102301
6,422.962,0.83489,1.5868,1.09445,0.6676,0.59011,0.67838,0.52595,0.77444,2.93141,1.13077,0.00100101,0.00100101,0.00100101
7,516.422,0.87655,1.5631,1.11181,0.8474,0.60242,0.69278,0.5308,0.81717,2.14819,1.1708,0.000979013,0.000979013,0.000979013
8,619.588,0.82703,1.56902,1.11126,0.83452,0.75299,0.73534,0.57404,0.7427,2.02214,1.13902,0.000957015,0.000957015,0.000957015
9,732.414,0.88543,1.50715,1.11808,0.84013,0.75362,0.74634,0.59189,0.80837,1.76627,1.14229,0.000935018,0.000935018,0.000935018
10,847.123,0.89067,1.43924,1.11204,0.95665,0.733,0.783,0.63983,0.74829,1.65273,1.13829,0.00091302,0.00091302,0.00091302
11,964.753,0.79807,1.26184,1.0405,0.94223,0.74141,0.77949,0.64048,0.76141,1.55123,1.15268,0.000891022,0.000891022,0.000891022
12,1078.95,0.80334,1.30603,1.09809,0.96438,0.76518,0.78524,0.66069,0.74121,1.55965,1.15218,0.000869024,0.000869024,0.000869024
13,1194,0.84384,1.32345,1.10396,0.9598,0.7966,0.78408,0.65104,0.73988,1.48958,1.11723,0.000847026,0.000847026,0.000847026
14,1310.77,0.78498,1.22167,1.08006,0.93325,0.8,0.79319,0.65384,0.66985,1.41677,1.05001,0.000825029,0.000825029,0.000825029
15,1402.37,0.74458,1.20488,1.02542,0.9527,0.77125,0.7769,0.65057,0.69429,1.49528,1.09234,0.000803031,0.000803031,0.000803031
16,1456.78,0.84609,1.23075,1.12385,0.88956,0.69697,0.72952,0.59779,0.71818,1.54648,1.09054,0.000781033,0.000781033,0.000781033
17,1511.17,0.77855,1.17645,1.06924,0.93467,0.7117,0.74425,0.6093,0.72332,1.59246,1.05624,0.000759035,0.000759035,0.000759035
18,1566.3,0.76798,1.10917,1.06459,0.93324,0.73864,0.77068,0.65735,0.6864,1.47104,1.05863,0.000737037,0.000737037,0.000737037
19,1628.47,0.78832,1.13518,1.0596,0.95995,0.73704,0.78117,0.64963,0.70937,1.43342,1.09045,0.00071504,0.00071504,0.00071504
20,1747.6,0.75274,1.07257,1.04444,0.96002,0.73255,0.78868,0.65327,0.71861,1.3423,1.06931,0.000693042,0.000693042,0.000693042
21,1867.38,0.74381,1.0702,1.05229,0.92261,0.72299,0.73942,0.60348,0.7352,1.40979,1.06291,0.000671044,0.000671044,0.000671044
22,1986.29,0.72261,1.00611,1.00449,0.95266,0.76364,0.78264,0.62994,0.7518,1.29061,1.07837,0.000649046,0.000649046,0.000649046
23,2073.85,0.72085,0.9953,1.04258,0.95843,0.73261,0.78571,0.6469,0.74047,1.24352,1.09025,0.000627048,0.000627048,0.000627048
24,2160.13,0.67358,1.00146,1.01593,0.97089,0.7596,0.79115,0.66029,0.71678,1.24216,1.05286,0.000605051,0.000605051,0.000605051
25,2255.75,0.68081,0.96481,1.01643,0.9626,0.7643,0.78287,0.63758,0.72677,1.23672,1.06308,0.000583053,0.000583053,0.000583053
26,2373.93,0.71095,0.98389,1.04131,0.94325,0.78173,0.78841,0.66587,0.66622,1.25445,1.04504,0.000561055,0.000561055,0.000561055
27,2486.99,0.72603,0.98994,1.05176,0.96252,0.74723,0.79975,0.67109,0.68206,1.19547,1.04709,0.000539057,0.000539057,0.000539057
28,2607.02,0.65768,0.93732,0.97838,0.94699,0.78236,0.79625,0.67542,0.66734,1.11855,1.03139,0.000517059,0.000517059,0.000517059
29,2721.1,0.69391,0.91405,1.02134,0.96912,0.78768,0.79317,0.67687,0.64514,1.09049,1.02072,0.000495062,0.000495062,0.000495062
30,2801.45,0.65502,0.90925,1.00628,0.96769,0.79697,0.78866,0.68103,0.623,1.10017,1.01738,0.000473064,0.000473064,0.000473064
31,2856.3,0.66024,0.93134,1.01122,0.96846,0.78368,0.78123,0.66722,0.63734,1.12472,1.02764,0.000451066,0.000451066,0.000451066
32,2909.8,0.64639,0.86241,0.97743,0.96801,0.7677,0.77954,0.66403,0.65287,1.14481,1.03598,0.000429068,0.000429068,0.000429068
33,2965.58,0.63369,1.00421,0.95375,0.96982,0.76657,0.77953,0.65854,0.66269,1.1066,1.0227,0.00040707,0.00040707,0.00040707
34,3019.75,0.66154,0.78881,0.99605,0.96963,0.785,0.78628,0.66325,0.61482,1.05844,0.99948,0.000385073,0.000385073,0.000385073
35,3073.97,0.61789,0.78843,0.98745,0.96103,0.7856,0.78348,0.6624,0.60719,1.04683,1.00471,0.000363075,0.000363075,0.000363075
36,3126.8,0.58945,0.79075,0.96943,0.96607,0.77905,0.79102,0.67816,0.62432,1.03915,1.02735,0.000341077,0.000341077,0.000341077
37,3360.7,0.66606,0.8124,1.01831,0.97636,0.76903,0.79253,0.67285,0.64587,1.01147,1.02627,0.000319079,0.000319079,0.000319079
38,3414.1,0.64937,0.81501,1.02994,0.97233,0.78237,0.79205,0.66824,0.65427,0.99965,1.0229,0.000297081,0.000297081,0.000297081
39,3468.86,0.59589,0.73618,0.98024,0.97291,0.78657,0.7862,0.66138,0.65618,0.97374,1.03543,0.000275084,0.000275084,0.000275084
40,3522.67,0.58974,0.74989,0.97625,0.97777,0.78584,0.7819,0.66065,0.66458,0.96826,1.04762,0.000253086,0.000253086,0.000253086
41,3565.09,0.45617,0.86959,0.88647,0.97701,0.78655,0.78032,0.65912,0.66224,0.95512,1.05402,0.000231088,0.000231088,0.000231088
42,3602.78,0.43228,0.87914,0.87285,0.97788,0.78767,0.78594,0.67545,0.63659,0.97466,1.04059,0.00020909,0.00020909,0.00020909
43,3642.25,0.44225,0.87994,0.86374,0.97735,0.78677,0.78582,0.67581,0.62765,0.93901,1.02739,0.000187092,0.000187092,0.000187092
44,3681.74,0.43101,0.83672,0.86116,0.97578,0.7862,0.78575,0.67787,0.6135,0.9099,1.02562,0.000165095,0.000165095,0.000165095
